METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT;METRIC_SCORES
BaseLine;4;Is it correct to say that q0 is the only final state in this automaton?;The final state is q0.;['simbolo-q0'];-1;-1;False;{'user_input': 'Is it correct to say that q0 is the only final state in this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'finalStates': 'q0'}};[1.0, 1.0, 1.0, 1.0]
BaseLine;5;Describe the pattern that the states form in the picture, like a line, a loop, or something else.;Could you be more specific?;[];-1;-1;False;{'user_input': 'Describe the pattern that the states form in the picture, like a line, a loop, or something else.', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '-'}};[0.0, 0.1, 0.0, 1.0]
BaseLine;6;Is q0 the only accepting state in this automaton?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];-1;-1;False;{'user_input': 'Is q0 the only accepting state in this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'state': 'q0'}};[0.0, 0.2, 0.0, 0.3]
BaseLine;7;Tell me the label on the arrow that leaves q1 and reaches q2.;The transition between q1 and q2 is with value 1.;['simbolo-q1-q2'];-1;-1;False;{'user_input': 'Tell me the label on the arrow that leaves q1 and reaches q2.', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', 'q2', '?']]}};[1.0, 1.0, 1.0, 1.0]
BaseLine;8;From q2, can I ever end up in q4 in this diagram?;there is no transition between q2 and q4.;[];-1;-1;False;{'user_input': 'From q2, can I ever end up in q4 in this diagram?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}};[0.2, 0.4, 0.2, 1.0]
BaseLine;9;Show me an input of bits that returns the automaton to q0 at the end.;Could you be more specific?;[];-1;-1;False;{'user_input': 'Show me an input of bits that returns the automaton to q0 at the end.', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}};[0.0, 0.1, 0.0, 1.0]
BaseLine;10;Tell me whether this machine is deterministic or not.;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];-1;-1;False;{'user_input': 'Tell me whether this machine is deterministic or not.', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:request', 'frame': {}};[0.0, 0.4, 0.2, 1.0]
BaseLine;11;Which symbols form the alphabet used in this finite state machine?;Could you be more specific?;[];-1;-1;False;{'user_input': 'Which symbols form the alphabet used in this finite state machine?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
BaseLine;12;How many distinct transitions are drawn between all the states here?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];-1;-1;False;{'user_input': 'How many distinct transitions are drawn between all the states here?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'numberOfTransitions': '?'}};[1.0, 1.0, 1.0, 1.0]
BaseLine;13;Tell me the total number of states that appear in this picture.;This automaton has 5 states;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];-1;-1;False;{'user_input': 'Tell me the total number of states that appear in this picture.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '?'}};[1.0, 1.0, 1.0, 1.0]
BaseLine;14;What kind of language does this automaton recognize, in theory?;Could you be more specific?;[];-1;-1;False;{'user_input': 'What kind of language does this automaton recognize, in theory?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
BaseLine;15;Explain what happens to the input 11000 when the machine starts in q0.;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];-1;-1;False;{'user_input': 'Explain what happens to the input 11000 when the machine starts in q0.', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}};[0.95, 0.9, 1.0, 1.0]
BaseLine;16;Point out the initial state that the run always begins from.;The initial state is q0.;['simbolo-q0'];-1;-1;False;{'user_input': 'Point out the initial state that the run always begins from.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'initialState': '?'}};[1.0, 1.0, 1.0, 1.0]
BaseLine;17;Tell me all the states that are final in this automaton.;The state q0 exists.;['simbolo-q0'];-1;-1;False;{'user_input': 'Tell me all the states that are final in this automaton.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};[1.0, 1.0, 1.0, 1.0]
BaseLine;19;Is there any state in this automaton that has no outgoing transitions?;The state q0 exists.;['simbolo-q0'];-1;-1;False;{'user_input': 'Is there any state in this automaton that has no outgoing transitions?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};[0.0, 0.2, 0.0, 0.2]
BaseLine;20;Tell me whether this automaton accepts or rejects the string 11100.;Could you be more specific?;[];-1;-1;False;{'user_input': 'Tell me whether this automaton accepts or rejects the string 11100.', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11100'}};[0.0, 0.1, 0.0, 1.0]
BaseLine;21;Can you tell me what happens if I start in q2 and try to end up in q4?;there is no transition between q2 and q4.;[];-1;-1;False;{'user_input': 'Can you tell me what happens if I start in q2 and try to end up in q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}};[0.9, 0.95, 0.9, 1.0]
BaseLine;22;What is the label on the arrow that goes from q1 to q2?;The transition between q1 and q2 is with value 1.;['simbolo-q1-q2'];-1;-1;False;{'user_input': 'What is the label on the arrow that goes from q1 to q2?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', 'q2', '?']]}};[1.0, 1.0, 1.0, 1.0]
BaseLine;23;From q3, which state do I reach next if I keep following zeros?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];-1;-1;False;{'user_input': 'From q3, which state do I reach next if I keep following zeros?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'nextState': '?'}};[0.0, 0.2, 0.0, 0.3]
BaseLine;24;Is q0 the only state that counts as a final state in this automaton?;The final state is q0.;['simbolo-q0'];-1;-1;False;{'user_input': 'Is q0 the only state that counts as a final state in this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'finalStates': 'q0'}};[1.0, 1.0, 1.0, 1.0]
BaseLine;25;How many different arrows in total are drawn between all the states?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];-1;-1;False;{'user_input': 'How many different arrows in total are drawn between all the states?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'numberOfTransitions': '?'}};[1.0, 1.0, 1.0, 1.0]
BaseLine;26;What input word makes the automaton go through every state once and return to q0?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];-1;-1;False;{'user_input': 'What input word makes the automaton go through every state once and return to q0?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.4, 0.0, 1.0]
BaseLine;27;Does this machine accept more than one string or just a single specific string?;Could you be more specific?;[];-1;-1;False;{'user_input': 'Does this machine accept more than one string or just a single specific string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.1, 0.1, 0.1, 1.0]
BaseLine;28;What kind of language does this automaton recognize in theory?;Could you be more specific?;[];-1;-1;False;{'user_input': 'What kind of language does this automaton recognize in theory?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': 'theory'}};[0.0, 0.1, 0.0, 1.0]
BaseLine;29;Is this automaton deterministic according to the usual definition?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];-1;-1;False;{'user_input': 'Is this automaton deterministic according to the usual definition?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'automatonType': 'deterministic'}};[0.0, 0.4, 0.0, 1.0]
BaseLine;30;Which states belong to the full set of states Q for this automaton?;The state q0 exists.;['simbolo-q0'];-1;-1;False;{'user_input': 'Which states belong to the full set of states Q for this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};[0.2, 0.4, 0.2, 0.5]
BaseLine;31;What is the input alphabet for the machine that I see on the tablet?;Could you be more specific?;[];-1;-1;False;{'user_input': 'What is the input alphabet for the machine that I see on the tablet?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
BaseLine;32;If the input is 11000, does the automaton accept or reject it?;Could you be more specific?;[];-1;-1;False;{'user_input': 'If the input is 11000, does the automaton accept or reject it?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}};[0.0, 0.1, 0.0, 1.0]
BaseLine;33;From which state does the transition labeled 1 always begin in this picture?;The initial state is q0.;['simbolo-q0'];-1;-1;False;{'user_input': 'From which state does the transition labeled 1 always begin in this picture?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'initialState': '?'}};[0.0, 0.2, 0.0, 0.2]
BaseLine;35;Can you describe the diagram shape of this automaton without naming any states?;Could you be more specific?;[];-1;-1;False;{'user_input': 'Can you describe the diagram shape of this automaton without naming any states?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'graphicRepresentation': '?'}};[0.0, 0.1, 0.0, 1.0]
