METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Accuracy;1;Is it possible to go from q2 directly to q4 in this automaton?;there is no transition between q2 and q4.;[];1.0;0;False;{'user_input': 'Is it possible to go from q2 directly to q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;1;what is the label of the transition that goes from this to that?;the transition is not defined.;[];0.0;1;False;{'user_input': 'what is the label of the transition that goes from this to that?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q2', 'q4']}, '_raw_frame': {'transitions': []}}
Accuracy;1;Can you explain the transition relation between states q2 and q4 in this finite state automaton?;there is no transition between q2 and q4.;[];1.0;1;False;{'user_input': 'Can you explain the transition relation between states q2 and q4 in this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;1;what type of pattern do the transitions of this automaton follow?;Could you be more specific?;[];0.1;2;False;{'user_input': 'what type of pattern do the transitions of this automaton follow?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
Accuracy;1;Which transitions connect state q2 and state q4 in this automaton?;there is no transition between q2 and q4.;[];1.0;2;False;{'user_input': 'Which transitions connect state q2 and state q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;1;which information can you give me about the states q2 and q4 of this automaton?;The state q0 exists.;['simbolo-q0'];0.0;3;False;{'user_input': 'which information can you give me about the states q2 and q4 of this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': 'q2'}}
Accuracy;1;What pattern does the automaton recognize starting from state q2?;Could you be more specific?;[];0.0;4;False;{'user_input': 'What pattern does the automaton recognize starting from state q2?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
Accuracy;1;what is the pattern type of the language recognized by this automaton?;Could you be more specific?;[];0.0;5;False;{'user_input': 'what is the pattern type of the language recognized by this automaton?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
Accuracy;1;what is the pattern type of this automaton?;Could you be more specific?;[];0.0;6;False;{'user_input': 'what is the pattern type of this automaton?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
Accuracy;1;"the automaton follows a clockwise pattern; the pattern type is clockwise.";Could you be more specific?;[];0.2;7;False;"{'user_input': 'the automaton follows a clockwise pattern; the pattern type is clockwise.', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': 'clockwise'}}"
Accuracy;1;what type of pattern does this finite state automaton recognize?;Could you be more specific?;[];0.0;8;False;{'user_input': 'what type of pattern does this finite state automaton recognize?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
Accuracy;1;What type of pattern does this automaton recognize?;Could you be more specific?;[];0.0;9;False;{'user_input': 'What type of pattern does this automaton recognize?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
Accuracy;1;What type of pattern does this automaton recognize?;Could you be more specific?;[];0.0;10;False;{'user_input': 'What type of pattern does this automaton recognize?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
Accuracy;1;What type of pattern does this automaton recognize?;Could you be more specific?;[];0.1;11;False;{'user_input': 'What type of pattern does this automaton recognize?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
Accuracy;1;What is the pattern type of this automaton?;Could you be more specific?;[];0.0;12;False;{'user_input': 'What is the pattern type of this automaton?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {}}
Relevancy;1;Is there any transition going out of q2 on input 1?;the transition is not defined.;[];1.0;0;False;{'user_input': 'Is there any transition going out of q2 on input 1?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', '?', '1']]}}
Relevancy;1;what is the transition from this with input symbol 1?;the transition is not defined.;[];1.0;0;False;{'user_input': 'what is the transition from this with input symbol 1?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q2']}, '_raw_frame': {}}
Relevancy;1;The transition that starts from state q2 is the one that, reading input 0, leads to state q3.;The transition between q2 and q3 is with value 0.;['simbolo-q2-q3'];1.0;0;False;{'user_input': 'The transition that starts from state q2 is the one that, reading input 0, leads to state q3.', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q3', '0']]}}
Relevancy;1;what is this on input symbol 0 in this automaton?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];0.2;1;False;{'user_input': 'what is this on input symbol 0 in this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q3', '?']]}, '_raw_frame': {'input': '0'}}
Relevancy;1;is q3 the initial state of this automaton?;It is not the initial state.;[];1.0;1;False;{'user_input': 'is q3 the initial state of this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'initialState': 'q3'}}
Relevancy;1;Which state in this automaton has no outgoing transitions, for example q3?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];0.2;2;False;{'user_input': 'Which state in this automaton has no outgoing transitions, for example q3?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'state': '?'}}
Relevancy;1;What is the graphic representation of the automaton’s states in this pentagon-shaped finite state machine?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];0.95;2;False;{'user_input': 'What is the graphic representation of the automaton’s states in this pentagon-shaped finite state machine?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'graphicRepresentation': 'pentagon'}}
Relevancy;1;hi, could you tell me what the states of this automaton are?;The state q0 exists.;['simbolo-q0'];0.4;2;False;{'user_input': 'hi, could you tell me what the states of this automaton are?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}}
Relevancy;1;that state is not correct, which state should it actually be?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];0.1;3;False;{'user_input': 'that state is not correct, which state should it actually be?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'state': '?'}}
Relevancy;1;Before I say goodbye, could you please tell me what the states of this automaton are?;The state q0 exists.;['simbolo-q0'];0.4;3;False;{'user_input': 'Before I say goodbye, could you please tell me what the states of this automaton are?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}}
Relevancy;1;what is this in this automaton?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];0.95;3;False;{'user_input': 'what is this in this automaton?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q0']}, '_raw_frame': {}}
