METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Accuracy;Is it possible to go from state q2 directly to state q4 in this automaton?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'Is it possible to go from state q2 directly to state q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;What is the label of the transition that goes from state q2 to state q4 in this automaton?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'What is the label of the transition that goes from state q2 to state q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;"Thank you for showing the transition from q2 to q4; could you please tell me what input symbol labels that transition?";there is no transition between q2 and q4.;1.0;0;False;"{'user_input': 'Thank you for showing the transition from q2 to q4; could you please tell me what input symbol labels that transition?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}"
Accuracy;What is the label of the transition from q2 to q4?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'What is the label of the transition from q2 to q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;What is the label of the transition that goes from state q2 to state q4?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'What is the label of the transition that goes from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;What is the label of the transition that goes from state q2 to state q4?;there is no transition between q2 and q4.;1.0;0;False;{'user_input': 'What is the label of the transition that goes from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;What is the alphabet of this automaton?;Could you be more specific?;0.0;1;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;What is the alphabet of the transition from ? to Q4 with symbol ? in this automaton?;Could you be more specific?;0.0;2;False;{'user_input': 'What is the alphabet of the transition from ? to Q4 with symbol ? in this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;What is the alphabet of this automaton?;Could you be more specific?;0.0;3;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;What is the alphabet of this automaton?;Could you be more specific?;0.0;4;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;What is the alphabet symbol on the transition that leads to state q1?;Could you be more specific?;0.0;5;False;{'user_input': 'What is the alphabet symbol on the transition that leads to state q1?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;What is the alphabet used by this automaton?;Could you be more specific?;0.0;6;False;{'user_input': 'What is the alphabet used by this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;What are the final states of this automaton?;The final state is q0.;1.0;6;False;{'user_input': 'What are the final states of this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'finalStates': '?'}}
Accuracy;What is the alphabet of this finite state automaton?;Could you be more specific?;0.0;7;False;{'user_input': 'What is the alphabet of this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;What is the alphabet of this finite state automaton?;Could you be more specific?;0.0;8;False;{'user_input': 'What is the alphabet of this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Relevancy;What is the value of the transition from q3 to q4 in this automaton?;The transition between q3 and q4 is with value 0.;1.0;0;False;{'user_input': 'What is the value of the transition from q3 to q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q3', 'q4', '?']]}}
Relevancy;Is q1 one of the states in this automaton?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.95;0;False;{'user_input': 'Is q1 one of the states in this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'state': 'q1'}}
Relevancy;Is q1 one of the states of this automaton?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.95;0;False;{'user_input': 'Is q1 one of the states of this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'state': 'q1'}}
Relevancy;What is the theoretical definition of the state q1 in this finite state automaton?;The state q0 exists.;0.1;1;False;{'user_input': 'What is the theoretical definition of the state q1 in this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': 'q1'}}
Relevancy;Set the current question to focus on state q1 in this automaton.;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.2;2;False;{'user_input': 'Set the current question to focus on state q1 in this automaton.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'state': 'q1'}}
Relevancy;Can you tell me what the state q1 represents in this automaton?;The state q0 exists.;0.1;3;False;{'user_input': 'Can you tell me what the state q1 represents in this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': 'q1'}}
Relevancy;What is the language accepted by the automaton starting from state q1?;Could you be more specific?;0.1;4;False;{'user_input': 'What is the language accepted by the automaton starting from state q1?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Relevancy;What is the optimal spatial representation of the language accepted by this automaton?;Could you be more specific?;0.1;5;False;{'user_input': 'What is the optimal spatial representation of the language accepted by this automaton?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'optimalSpatialRepresentation': '?'}}
Relevancy;What is the optimal spatial representation of the pattern recognized by this finite state automaton?;Could you be more specific?;0.1;6;False;{'user_input': 'What is the optimal spatial representation of the pattern recognized by this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'optimalSpatialRepresentation': '?'}}
Relevancy;What pattern does this deterministic automaton recognize?;Could you be more specific?;0.1;7;False;{'user_input': 'What pattern does this deterministic automaton recognize?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
Relevancy;What type of pattern does this automaton recognize?;Could you be more specific?;0.1;8;False;{'user_input': 'What type of pattern does this automaton recognize?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
Relevancy;Can you tell me what kind of pattern this automaton follows in a clockwise direction?;Could you be more specific?;0.2;9;False;{'user_input': 'Can you tell me what kind of pattern this automaton follows in a clockwise direction?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': 'clockwise'}}
Relevancy;Hi, looking at this automaton’s drawing, could you tell me what type of pattern it represents?;Could you be more specific?;0.1;10;False;{'user_input': 'Hi, looking at this automaton’s drawing, could you tell me what type of pattern it represents?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'patternType': '?'}}
Relevancy;What type of pattern does this automaton recognize?;Could you be more specific?;0.1;11;False;{'user_input': 'What type of pattern does this automaton recognize?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
Relevancy;What is the pattern type of this finite state automaton?;Could you be more specific?;0.2;12;False;{'user_input': 'What is the pattern type of this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}}
METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Correctness;Is there any transition leaving state q2 on input 1?;the transition is not defined.;1.0;0;False;{'user_input': 'Is there any transition leaving state q2 on input 1?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', '?', '1']]}}
Correctness;Is there a transition from state q2 to some other state with input symbol 1?;the transition is not defined.;1.0;0;False;{'user_input': 'Is there a transition from state q2 to some other state with input symbol 1?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', '?', '1']]}}
Correctness;For the language of this automaton, what is the transition from state q2 with input symbol 1?;the transition is not defined.;1.0;0;False;{'user_input': 'For the language of this automaton, what is the transition from state q2 with input symbol 1?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', '?', '1']]}}
Correctness;What is the transition from state q2 with input symbol 1?;the transition is not defined.;1.0;0;False;{'user_input': 'What is the transition from state q2 with input symbol 1?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', '?', '1']]}}
Correctness;What are the transitions of this pentagon-shaped automaton?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;1.0;0;False;{'user_input': 'What are the transitions of this pentagon-shaped automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}}
Correctness;Can you tell me which states are connected by each transition in this automaton?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;1.0;0;False;{'user_input': 'Can you tell me which states are connected by each transition in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}}
Correctness;Can you explain the transitions of this automaton?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;1.0;0;False;{'user_input': 'Can you explain the transitions of this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {}}
Correctness;Can you tell me what the transitions of this automaton are?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;1.0;0;False;{'user_input': 'Can you tell me what the transitions of this automaton are?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {}}
Correctness;What are the transitions of this automaton?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;1.0;0;False;{'user_input': 'What are the transitions of this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {}}
Correctness;There are 2 transitions in this automaton.;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;1.0;0;False;{'user_input': 'There are 2 transitions in this automaton.', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {}}
Correctness;Before we say goodbye, could you summarize the transitions of this automaton for me?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;1.0;0;False;{'user_input': 'Before we say goodbye, could you summarize the transitions of this automaton for me?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {}}
Correctness;To which state does the transition go?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;0.5;0;False;{'user_input': 'To which state does the transition go?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}}
Correctness;Can you list all the transitions of this automaton, specifying from which state to which state they go and with which input symbol?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;1.0;0;False;{'user_input': 'Can you list all the transitions of this automaton, specifying from which state to which state they go and with which input symbol?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}}
Correctness;Can you check whether I have correctly listed all the transitions of this automaton?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;1.0;0;False;{'user_input': 'Can you check whether I have correctly listed all the transitions of this automaton?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {}}
