METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT;METRIC_SCORES
Accuracy;1;Is it possible to go from q2 to q4 in this automaton?;There is no transition between q2 and q4.;[];0.9;0;False;{'user_input': 'Is it possible to go from q2 to q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}};[0.9, 0.9, 0.9, 1.0]
Accuracy;1;Can you describe the transition pattern of this automaton, specifically whether the transitions follow an anti-clockwise direction?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];0.4;0;False;{'user_input': 'Can you describe the transition pattern of this automaton, specifically whether the transitions follow an anti-clockwise direction?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};[0.4, 0.5, 0.5, 1.0]
Accuracy;1;can you list all the transitions of this finite state automaton?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];1.0;0;False;{'user_input': 'can you list all the transitions of this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;which states are final in this automaton?;The final state is q0.;['simbolo-q0'];1.0;0;False;{'user_input': 'which states are final in this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'finalStates': '?'}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;can you show me the pattern of the transitions of this automaton?;Could you be more specific?;[];0.1;1;False;{'user_input': 'can you show me the pattern of the transitions of this automaton?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternOfTransitions': '?'}};[0.1, 0.1, 0.1, 1.0]
Accuracy;1;what is the alphabet of this automaton?;Could you be more specific?;[];0.0;2;False;{'user_input': 'what is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;Thank you, could you please tell me what the alphabet of this automaton is?;Could you be more specific?;[];0.0;3;False;{'user_input': 'Thank you, could you please tell me what the alphabet of this automaton is?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;The alphabet of this automaton is {0, 1}.;Could you be more specific?;[];0.0;4;False;{'user_input': 'The alphabet of this automaton is {0, 1}.', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '0'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;The alphabet of this automaton is {0}.;Could you be more specific?;[];0.0;5;False;{'user_input': 'The alphabet of this automaton is {0}.', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '0'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;which states are reachable in this automaton if the only input symbol allowed is 0?;the transition is not defined.;[];0.9;5;False;{'user_input': 'which states are reachable in this automaton if the only input symbol allowed is 0?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['state', 'input', 'nextState']]}};[0.9, 1.0, 1.0, 1.0]
Accuracy;1;what is the alphabet of this automaton if i know that it includes the symbol 0?;Could you be more specific?;[];0.0;6;False;{'user_input': 'what is the alphabet of this automaton if i know that it includes the symbol 0?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;Before we finish, could you tell me what the alphabet of this automaton is?;Could you be more specific?;[];0.0;7;False;{'user_input': 'Before we finish, could you tell me what the alphabet of this automaton is?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;Hi! Looking at this automaton, what is its alphabet?;Could you be more specific?;[];0.0;8;False;{'user_input': 'Hi! Looking at this automaton, what is its alphabet?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;What is the alphabet of this automaton?;Could you be more specific?;[];0.0;9;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;What is the language recognized by this automaton, in particular what is its alphabet?;Could you be more specific?;[];0.0;10;False;{'user_input': 'What is the language recognized by this automaton, in particular what is its alphabet?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;2;What is the value of the transition from q1 to q2?;The transition between q1 and q2 is with value 1.;['simbolo-q1-q2'];1.0;0;False;{'user_input': 'What is the value of the transition from q1 to q2?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', 'q2', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;what is the label of the transition that goes from this to that?;The transition from q1 to q2 has value 1.;['simbolo-q1-q2'];0.0;1;False;{'user_input': 'what is the label of the transition that goes from this to that?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q1', 'q2']}, '_raw_frame': {'transitions': []}};[0.0, 0.1, 0.0, 0.1]
Accuracy;2;can you tell me which automaton states correspond to q1 and q2?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];0.1;2;False;{'user_input': 'can you tell me which automaton states correspond to q1 and q2?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q1', 'q2']}};[0.1, 0.2, 0.2, 0.9]
Accuracy;2;What is the transition between states q1 and q2?;The transition between q1 and q2 is with value 1.;['simbolo-q1-q2'];1.0;2;False;{'user_input': 'What is the transition between states q1 and q2?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', 'q2', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;Thank you for explaining the transition between states q1 and q2 in this automaton.;The transition between q1 and q2 is with value 1.;['simbolo-q1-q2'];1.0;2;False;{'user_input': 'Thank you for explaining the transition between states q1 and q2 in this automaton.', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q1', 'q2', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;Can you show me the pattern that involves the states q1 and q2 in this automaton?;MUTATION In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state.;[];0.1;3;True;{'user_input': 'Can you show me the pattern that involves the states q1 and q2 in this automaton?', 'intent': None, 'argument': None, 'dialogue_act': None, 'frame': {}};[0.1, 0.2, 0.2, 1.0]
Accuracy;2;thank you for explaining the transition between states q1 and q2 in this automaton.;The transition between q1 and q2 is with value 1.;['simbolo-q1-q2'];1.0;3;False;{'user_input': 'thank you for explaining the transition between states q1 and q2 in this automaton.', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', 'q2', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;3;What input strings does this automaton accept if it starts and ends in q0?;Could you be more specific?;[];0.0;1;False;{'user_input': 'What input strings does this automaton accept if it starts and ends in q0?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;3;From the initial state q0, what is the resulting state of the automaton for the input string 11000?;The initial state is q0.;['simbolo-q0'];0.1;2;False;{'user_input': 'From the initial state q0, what is the resulting state of the automaton for the input string 11000?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'initialState': 'q0', 'input': '11000'}};[0.1, 0.2, 0.2, 0.3]
Accuracy;3;What is the language accepted by this automaton for the input string?;Could you be more specific?;[];0.1;3;False;{'user_input': 'What is the language accepted by this automaton for the input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'input': '?'}};[0.1, 0.2, 0.1, 1.0]
Accuracy;3;for which input strings does this automaton define its language?;Could you be more specific?;[];0.0;4;False;{'user_input': 'for which input strings does this automaton define its language?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;3;Can you tell me what happens when the automaton processes the input string?;MUTATION In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state.;[];0.2;5;True;{'user_input': 'Can you tell me what happens when the automaton processes the input string?', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:request', 'frame': {}};[0.2, 0.3, 0.2, 1.0]
Accuracy;3;what is the language accepted by this automaton for a generic input string?;Could you be more specific?;[];0.0;6;False;{'user_input': 'what is the language accepted by this automaton for a generic input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;3;Given this automaton, what is the resulting state after processing the input string?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];0.1;7;False;{'user_input': 'Given this automaton, what is the resulting state after processing the input string?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};[0.1, 0.3, 0.2, 0.2]
Accuracy;3;what language is accepted by this automaton starting from this?;Could you be more specific?;[];0.0;8;False;{'user_input': 'what language is accepted by this automaton starting from this?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q3']}, '_raw_frame': {'input': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;3;What is the language accepted by the automaton starting from state q3?;Could you be more specific?;[];0.0;9;False;{'user_input': 'What is the language accepted by the automaton starting from state q3?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'initialState': 'q3', 'finalStates': ['q3']}};[0.0, 0.1, 0.0, 1.0]
Accuracy;3;what is the language accepted by the automaton if both the initial state and the only final state are q3?;Could you be more specific?;[];0.0;10;False;{'user_input': 'what is the language accepted by the automaton if both the initial state and the only final state are q3?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'initialState': 'q3', 'finalStates': ['q3']}};[0.0, 0.1, 0.0, 1.0]
