TEST_CASE_NUMBER;TEST CASE;FOLLOW UP;TEST CASE TEXT;TEST CASE MULTI;FOLLOW UP TEXT;FOLLOW UP MULTI;COMPARE TEXT;COMPARE MULTI;2-1/99
2;describe the automaton ;describe the automaton ;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q2 with value 0 goes goes q3, q3 with value 0 goes goes q4, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. The initial state is q1 and the final state is q0.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q2 with value 0 goes goes q3, q3 with value 0 goes goes q4, q4 with value 0 goes to q0.;[];False;True
5;Describe it please ;Describe it please ;Potresti essere più specifico?;[];Potresti essere più specifico?;[];True;True
14;How is the automaton represented ;How is the automaton represented ;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q2 with value 0 goes goes q3, q3 with value 0 goes goes q4, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. The initial state is q1 and the final state is q0.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q2 with value 0 goes goes q3, q3 with value 0 goes goes q4, q4 with value 0 goes to q0.;[];False;True
16;Describe the automaton ;Describe the automaton ;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q2 with value 0 goes goes q3, q3 with value 0 goes goes q4, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. The initial state is q1 and the final state is q0.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q2 with value 0 goes goes q3, q3 with value 0 goes goes q4, q4 with value 0 goes to q0.;[];False;True
19;If q2 is the final state the language accepted by the automaton is the same ;If q2 is the final state the language accepted by the automaton is the same ;The final state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];Potresti essere più specifico?;[];False;False
20;Briefly describe the automaton ;Briefly describe the automaton ;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q2 with value 0 goes goes q3, q3 with value 0 goes goes q4, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. The initial state is q1 and the final state is q0.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q2 with value 0 goes goes q3, q3 with value 0 goes goes q4, q4 with value 0 goes to q0.;[];False;True
22;How is the automaton represented ;How is the automaton represented ;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q2 with value 0 goes goes q3, q3 with value 0 goes goes q4, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. The initial state is q1 and the final state is q0.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q2 with value 0 goes goes q3, q3 with value 0 goes goes q4, q4 with value 0 goes to q0.;[];False;True
24;Which is the initial state ;Which is the initial state ;The initial state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];The initial state is q1.;[('simbolo-q1', '#04ed00', 'stroke')];False;False
45;can you describe me the automaton ;can you describe me the automaton ;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q2 with value 0 goes goes q3, q3 with value 0 goes goes q4, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. The initial state is q1 and the final state is q0.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q2 with value 0 goes goes q3, q3 with value 0 goes goes q4, q4 with value 0 goes to q0.;[];False;True
46;Could you briefly describe the automaton ;Could you briefly describe the automaton ;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q2 with value 0 goes goes q3, q3 with value 0 goes goes q4, q4 with value 0 goes to q0.;[];The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. The initial state is q1 and the final state is q0.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q2 with value 0 goes goes q3, q3 with value 0 goes goes q4, q4 with value 0 goes to q0.;[];False;True
72;Which is the initial state ;Which is the initial state ;The initial state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];The initial state is q1.;[('simbolo-q1', '#04ed00', 'stroke')];False;False
