TEST_CASE_NUMBER;TEST CASE;FOLLOW UP;TEST CASE TEXT;TEST CASE MULTI;FOLLOW UP TEXT;FOLLOW UP MULTI;COMPARE TEXT;COMPARE MULTI
1;Tell me about q0;Tell me about state q0;The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];True;True
2;Tell me about q1;Tell me about state q1;The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];True;True
3;Tell me about q2;Tell me about state q2;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];False;False
4;Tell me about q3;Tell me about state q3;The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];The automaton has 5 states: q0, q1, q2, q3 and q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q3', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];False;False
5;Tell me about q4;Tell me about state q4;The state q0 exists.;[('simbolo-q0', '#04ed00', 'stroke')];The automaton has 5 states: q0, q1, q2, q3 and q4.;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q3', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];False;False
6;Tell me about the transition between q0 and q1;Tell me about transition q0 q1;The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];True;True
7;Tell me about the transition between q1 and q2;Tell me about transition q1 q2;The transition between q1 and q2 is with value 1.;[('simbolo-q1-q2', '#04ed00', 'stroke')];The transition between q1 and q2 is with value 1.;[('simbolo-q1-q2', '#04ed00', 'stroke')];True;True
8;Tell me about the transition between q2 and q3;Tell me about transition q2 q3;The transition between q2 and q3 is with value 0.;[('simbolo-q2-q3', '#04ed00', 'stroke')];The transition between q2 and q3 is with value 0.;[('simbolo-q2-q3', '#04ed00', 'stroke')];True;True
9;Tell me about the transition between q3 and q4;Tell me about transition q3 q4;The transition between q3 and q4 is with value 0.;[('simbolo-q3-q4', '#04ed00', 'stroke')];The transition between q3 and q4 is with value 0.;[('simbolo-q3-q4', '#04ed00', 'stroke')];True;True
10;Tell me about the transition between q4 and q0;Tell me about transition q4 q0;The transition between q4 and q0 is with value 0.;[('simbolo-q4-q0', '#04ed00', 'stroke')];The transition between q4 and q0 is with value 0.;[('simbolo-q4-q0', '#04ed00', 'stroke')];True;True
11;Is there a transition between q0 and q1?;Is there a transition between state q0 and state q1?;The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];True;True
12;Is there a transition between q1 and q2?;Is there a transition between state q1 and state q2?;The transition between q1 and q2 is with value 1.;[('simbolo-q1-q2', '#04ed00', 'stroke')];The transition between q1 and q2 is with value 1.;[('simbolo-q1-q2', '#04ed00', 'stroke')];True;True
13;Is there a transition between q2 and q3?;Is there a transition between state q2 and state q3?;The transition between q2 and q3 is with value 0.;[('simbolo-q2-q3', '#04ed00', 'stroke')];The transition between q2 and q3 is with value 0.;[('simbolo-q2-q3', '#04ed00', 'stroke')];True;True
14;Is there a transition between q3 and q4?;Is there a transition between state q3 and state q4?;The transition between q3 and q4 is with value 0.;[('simbolo-q3-q4', '#04ed00', 'stroke')];The transition between q3 and q4 is with value 0.;[('simbolo-q3-q4', '#04ed00', 'stroke')];True;True
15;Is there a transition between q4 and q0?;Is there a transition between state q4 and state q0?;The transition between q4 and q0 is with value 0.;[('simbolo-q4-q0', '#04ed00', 'stroke')];The transition between q4 and q0 is with value 0.;[('simbolo-q4-q0', '#04ed00', 'stroke')];True;True
16;Is there a transition between q0 and q2?;Is there a transition between state q0 and state q2?;there is no transition between q0 and q2.;[];there is no transition between q0 and q2.;[];True;True
17;Is there a transition between q0 and q3?;Is there a transition between state q0 and state q3?;there is no transition between q0 and q3.;[];there is no transition between q0 and q3.;[];True;True
18;Is there a transition between q0 and q4?;Is there a transition between state q0 and state q4?;there is no transition between q0 and q4.;[];there is no transition between q0 and q4.;[];True;True
19;Is there a transition between q1 and q0?;Is there a transition between state q1 and state q0?;there is no transition between q1 and q0.;[];there is no transition between q1 and q0.;[];True;True
20;Is there a transition between q1 and q3?;Is there a transition between state q1 and state q3?;there is no transition between q1 and q3.;[];there is no transition between q1 and q3.;[];True;True
21;Is there a transition between q1 and q4?;Is there a transition between state q1 and state q4?;there is no transition between q1 and q4.;[];there is no transition between q1 and q4.;[];True;True
22;Is there a transition between q2 and q0?;Is there a transition between state q2 and state q0?;there is no transition between q2 and q0.;[];there is no transition between q2 and q0.;[];True;True
23;Is there a transition between q2 and q1?;Is there a transition between state q2 and state q1?;there is no transition between q2 and q1.;[];there is no transition between q2 and q1.;[];True;True
24;Is there a transition between q2 and q4?;Is there a transition between state q2 and state q4?;there is no transition between q2 and q4.;[];there is no transition between q2 and q4.;[];True;True
25;Is there a transition between q3 and q0?;Is there a transition between state q3 and state q0?;there is no transition between q3 and q0.;[];there is no transition between q3 and q0.;[];True;True
26;Is there a transition between q3 and q1?;Is there a transition between state q3 and state q1?;there is no transition between q3 and q1.;[];there is no transition between q3 and q1.;[];True;True
27;Is there a transition between q3 and q2?;Is there a transition between state q3 and state q2?;there is no transition between q3 and q2.;[];there is no transition between q3 and q2.;[];True;True
28;Is there a transition between q4 and q1?;Is there a transition between state q4 and state q1?;there is no transition between q4 and q1.;[];there is no transition between q4 and q1.;[];True;True
29;Is there a transition between q4 and q2?;Is there a transition between state q4 and state q2?;there is no transition between q4 and q2.;[];there is no transition between q4 and q2.;[];True;True
30;Is there a transition between q4 and q3?;Is there a transition between state q4 and state q3?;there is no transition between q4 and q3.;[];there is no transition between q4 and q3.;[];True;True
31;What is the value of the transition between q0 and q1?;What is the value of the transition between state q0 and state q1?;The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];The transition between q0 and q1 is with value 1.;[('simbolo-q0-q1', '#04ed00', 'stroke')];True;True
32;What is the value of the transition between q1 and q2?;What is the value of the transition between state q1 and state q2?;The transition between q1 and q2 is with value 1.;[('simbolo-q1-q2', '#04ed00', 'stroke')];The transition between q1 and q2 is with value 1.;[('simbolo-q1-q2', '#04ed00', 'stroke')];True;True
