METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Accuracy;Is it possible to go from state q2 to state q4 in this automaton?;there is no transition between q2 and q4.;0.2;1;False;{'user_input': 'Is it possible to go from state q2 to state q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;What is the label of the transition from state q2 to state q4 in this automaton?;there is no transition between q2 and q4.;1.0;1;False;{'user_input': 'What is the label of the transition from state q2 to state q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;Thank you, could you please tell me what the transition from q2 to q4 is?;there is no transition between q2 and q4.;1.0;1;False;{'user_input': 'Thank you, could you please tell me what the transition from q2 to q4 is?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;What is the transition from state q2 to state q4 in this automaton?;there is no transition between q2 and q4.;1.0;1;False;{'user_input': 'What is the transition from state q2 to state q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;Which transitions in this automaton use symbols 2 and 4 from the alphabet?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;0.0;2;False;{'user_input': 'Which transitions in this automaton use symbols 2 and 4 from the alphabet?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '2'}}
Accuracy;Thanks, that helps me understand the transitions of this automaton over the binary alphabet {0,1}.;The automaton accepts zero or more words formed by a sequence of the type 11000. MUTATION In total there are 5 states: q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;0.7;2;True;{'user_input': 'Thanks, that helps me understand the transitions of this automaton over the binary alphabet {0,1}.', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'alphabet': ['0', '1']}}
Accuracy;Set a practical question about the transitions of this automaton, whose alphabet is {0,1}.;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;0.2;3;False;{'user_input': 'Set a practical question about the transitions of this automaton, whose alphabet is {0,1}.', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'alphabet': ['0', '1']}}
Accuracy;What are the transitions of this automaton?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;1.0;3;False;{'user_input': 'What are the transitions of this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}}
Accuracy;Set a practical question about the transitions of this finite state automaton over the binary alphabet 2.;There is no transition between q0 and q0.;0.1;4;False;{'user_input': 'Set a practical question about the transitions of this finite state automaton over the binary alphabet 2.', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '2', 'states': '?', 'transitions': []}}
Accuracy;What is the transition labeled with symbol 2 in this automaton?;the transition is not defined.;1.0;4;False;{'user_input': 'What is the transition labeled with symbol 2 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['?', '?', '2']]}}
