METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT;METRIC_SCORES
Accuracy;1;Is it possible to go from q2 to q4 in the automaton shown?;There is no transition between q2 and q4.;[];0.2;1;False;{'user_input': 'Is it possible to go from q2 to q4 in the automaton shown?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}};[0.2, 0.4, 0.2, 1.0]
Accuracy;1;what is the label of the transition from this to that?;MUTATION There is no transition between q4 and q2.;[];1.0;1;True;{'user_input': 'what is the label of the transition from this to that?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q4', 'q2']}, '_raw_frame': {'transitions': []}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;What is the label of the transition from state q2 to state q4?;There is no transition between q2 and q4.;[];1.0;1;False;{'user_input': 'What is the label of the transition from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;What is the label of the transition from state q2 to state q4?;There is no transition between q2 and q4.;[];1.0;1;False;{'user_input': 'What is the label of the transition from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;what is the label of the transition from this to that?;MUTATION There is no transition between q4 and q2.;[];0.0;2;True;{'user_input': 'what is the label of the transition from this to that?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q4', 'q2']}, '_raw_frame': {'transitions': []}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;which transition connects that to this in this automaton?;MUTATION There is no transition between q4 and q2.;[];0.2;3;True;{'user_input': 'which transition connects that to this in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q4', 'q2']}, '_raw_frame': {'transitions': []}};[0.2, 0.2, 0.2, 1.0]
Accuracy;1;Which transitions connect states q4 and q2 in this automaton?;There is no transition between q4 and q2.;[];1.0;3;False;{'user_input': 'Which transitions connect states q4 and q2 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q4', 'q2', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;from this, what transition does this automaton perform?;The state q3 exists.;['simbolo-q3'];0.0;4;False;{'user_input': 'from this, what transition does this automaton perform?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q3']}, '_raw_frame': {'transitions': []}};[0.0, 0.1, 0.0, 0.2]
Accuracy;1;Which transitions leave from state q3 in this automaton?;the transition is not defined.;[];0.0;5;False;{'user_input': 'Which transitions leave from state q3 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q3', '?', '?']]}};[0.0, 0.2, 0.0, 1.0]
Accuracy;1;What is the transition that starts from state q3?;the transition is not defined.;[];0.0;6;False;{'user_input': 'What is the transition that starts from state q3?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q3', '?', '?']]}};[0.0, 0.2, 0.0, 1.0]
Accuracy;1;What is the transition that starts from state q3?;the transition is not defined.;[];0.0;7;False;{'user_input': 'What is the transition that starts from state q3?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q3', '?', '?']]}};[0.0, 0.2, 0.0, 1.0]
Accuracy;1;From state q3, what is the transition in this automaton (i.e., which input symbol and which state does it go to)?;the transition is not defined.;[];0.0;8;False;{'user_input': 'From state q3, what is the transition in this automaton (i.e., which input symbol and which state does it go to)?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q3', '?', '?']]}};[0.0, 0.9, 0.0, 1.0]
Accuracy;1;what is the transition that starts from this?;The state q3 exists.;['simbolo-q3'];0.0;9;False;{'user_input': 'what is the transition that starts from this?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q3']}, '_raw_frame': {'transitions': []}};[0.0, 0.1, 0.0, 0.2]
Accuracy;1;Can you list all the transitions that start from state q3 in this automaton?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];0.2;10;False;{'user_input': 'Can you list all the transitions that start from state q3 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};[0.2, 0.3, 0.5, 0.9]
Accuracy;1;Which transitions in the automaton lead to the state q1?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];0.2;11;False;{'user_input': 'Which transitions in the automaton lead to the state q1?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};[0.2, 0.3, 0.5, 0.2]
Accuracy;2;What is the value of the transition from q1 to q2 in this diagram?;The transition between q1 and q2 is with value 1.;['simbolo-q1-q2'];1.0;0;False;{'user_input': 'What is the value of the transition from q1 to q2 in this diagram?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', 'q2', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;what is the value of this in this automaton?;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];0.2;1;False;{'user_input': 'what is the value of this in this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', 'q2', '?']]}, '_raw_frame': {'stateValue': '?'}};[0.2, 0.3, 0.3, 0.9]
