METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT;METRIC_SCORES
Accuracy;1;Is it possible to go from q2 to q4 in the automaton?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.0, 0.3, 0.2, 1.0];0.2;1;False;{'user_input': 'Is it possible to go from q2 to q4 in the automaton?', 'intent': None, 'argument': None, 'dialogue_act': None, 'frame': {}};[0.0, 0.3, 0.2, 1.0]
Accuracy;1;The state with the most transitions in this automaton is q3.;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];[0.0, 0.3, 0.0, 0.9];0.0;2;False;{'user_input': 'The state with the most transitions in this automaton is q3.', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'state': 'q3'}};[0.0, 0.3, 0.0, 0.9]
Accuracy;1;How many transitions are there in the automaton’s states?;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];[1.0, 1.0, 1.0, 1.0];1.0;2;False;{'user_input': 'How many transitions are there in the automaton’s states?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'numberOfTransitions': '?'}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;Can you explain the role of state q3 in this finite state automaton?;The state q3 exists.;['simbolo-q3'];[0.1, 0.1, 0.1, 0.9];0.1;3;False;{'user_input': 'Can you explain the role of state q3 in this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q3']}};[0.1, 0.1, 0.1, 0.9]
Accuracy;1;what is the output of this automaton for the given input string?;Could you be more specific?;[];[0.0, 0.1, 0.0, 1.0];0.1;4;False;{'user_input': 'what is the output of this automaton for the given input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'output': '?'}};[0.0, 0.1, 0.0, 1.0]
Accuracy;1;Which state does the automaton reach when it follows the clockwise pattern?;The state q0 exists.;['simbolo-q0'];[0.0, 0.2, 0.0, 0.8];0.1;5;False;{'user_input': 'Which state does the automaton reach when it follows the clockwise pattern?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};[0.0, 0.2, 0.0, 0.8]
Accuracy;1;what is the initial state of this automaton?;The initial state is q0.;['simbolo-q0'];[1.0, 1.0, 1.0, 1.0];1.0;5;False;{'user_input': 'what is the initial state of this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'initialState': '?'}};[1.0, 1.0, 1.0, 1.0]
Accuracy;2;What is the value of the transition from q1 to q2?;the transition is not defined.;[];[0.0, 0.2, 0.0, 1.0];0.0;1;False;{'user_input': 'What is the value of the transition from q1 to q2?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', 'q2', '?']]}};[0.0, 0.2, 0.0, 1.0]
Accuracy;2;Hi, could you tell me what the symbol is on the transition from q1 to q2?;the transition is not defined.;[];[0.0, 0.2, 0.0, 1.0];0.0;2;False;{'user_input': 'Hi, could you tell me what the symbol is on the transition from q1 to q2?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q1', 'q2', '?']]}};[0.0, 0.2, 0.0, 1.0]
Accuracy;2;what type of automaton is this finite state machine?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];[0.2, 0.4, 0.3, 1.0];0.2;3;False;{'user_input': 'what type of automaton is this finite state machine?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'type': 'automatonType'}};[0.2, 0.4, 0.3, 1.0]
