METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT;METRIC_SCORES
Accuracy;1;Is it possible to go from q2 to q4 in this automaton?;there is no transition between q2 and q4.;[];0.2;1;False;{'user_input': 'Is it possible to go from q2 to q4 in this automaton?', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}};[0.2, 0.6, 0.2, 1.0]
Accuracy;1;Sorry, I meant the transition from q2 to q4, not q2 to q3: what is the label on the transition from q2 to q4?;there is no transition between q2 and q4.;[];1.0;1;False;{'user_input': 'Sorry, I meant the transition from q2 to q4, not q2 to q3: what is the label on the transition from q2 to q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;What is the input symbol on the transition from state q2 to state q4?;The automaton accepts zero or more words formed by a sequence of the type 11000. MUTATION In total there are 5 states: q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];0.0;2;True;{'user_input': 'What is the input symbol on the transition from state q2 to state q4?', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.0, 0.2, 0.2, 1.0]
Accuracy;1;How many states are there in this automaton?;This automaton has 5 states;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];1.0;2;False;{'user_input': 'How many states are there in this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '?'}};[1.0, 1.0, 1.0, 1.0]
Accuracy;1;Can you tell me what happens to the automaton when the input is “?”;The automaton has 5 states: q0, q1, q2, q3 and q4.;['simbolo-q0', 'simbolo-q1', 'simbolo-q2', 'simbolo-q3', 'simbolo-q4'];0.1;3;False;{'user_input': 'Can you tell me what happens to the automaton when the input is “?”', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};[0.1, 0.2, 0.2, 0.2]
Accuracy;1;Given the automaton shown on the tablet, which states does the machine visit when the input is ?;The state q0 exists.;['simbolo-q0'];0.1;4;False;{'user_input': 'Given the automaton shown on the tablet, which states does the machine visit when the input is ?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'states': '?'}};[0.1, 0.2, 0.1, 0.8]
Accuracy;1;given the automaton shown, what state will it end in for the input string “11000”?;The state q0 exists.;['simbolo-q0'];0.0;5;False;{'user_input': 'given the automaton shown, what state will it end in for the input string “11000”?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};[0.2, 0.2, 0.2, 0.9]
Accuracy;1;What are the states of this automaton?;The state q0 exists.;['simbolo-q0'];0.2;6;False;{'user_input': 'What are the states of this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};[0.2, 0.3, 0.2, 0.8]
Accuracy;1;"the automaton does not have 5 states; can you tell me exactly which states it includes?";The state q0 exists.;['simbolo-q0'];0.2;7;False;"{'user_input': 'the automaton does not have 5 states; can you tell me exactly which states it includes?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}}";[0.2, 0.3, 0.2, 0.8]
Accuracy;1;What are the states of this automaton?;The state q0 exists.;['simbolo-q0'];0.2;8;False;{'user_input': 'What are the states of this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};[0.2, 0.4, 0.2, 0.6]
