QUESTION;NLU OUTPUT;BEST FRAME;CERTAINTY SCORE;TEXTUAL RESPONSE;VISUAL RESPONSE
hi;{'user_input': 'hi', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:request', 'frame': {}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};1.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
describe the automaton;{'user_input': 'describe the automaton', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};1.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
There is a transition between q2 and q0;{'user_input': 'There is a transition between q2 and q0', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q0', '?']]}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:propositionalQuestion'], 'correctedFrame': {'transitions': [['q2', 'q0', '?']]}};1.0;there is no transition between q2 and q0.;[]
Describe it please;{'user_input': 'Describe it please', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:request', 'frame': {'N': 'N', 'a': 'a', 'n': 'n'}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
How many transitions does the automaton contain;{'user_input': 'How many transitions does the automaton contain', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'numberOfTransitions': '?'}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3-q4'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4-q0'}]
there is a particular pattern among them;{'user_input': 'there is a particular pattern among them', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'patternType': '?'}};{};0.0;Could you be more specific?;[]
What is the alphabet;{'user_input': 'What is the alphabet', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};{};0.0;Could you be more specific?;[]
What are the transitions;{'user_input': 'What are the transitions', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3-q4'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4-q0'}]
What are the states;{'user_input': 'What are the states', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:propositionalQuestion'], 'correctedFrame': {'states': ['q0']}};0.2;The state q0 exists.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}]
What is q1;{'user_input': 'What is q1', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'state': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton has 5 states: q0, q1, q2, q3 and q4.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4'}]
