TEST_CASE_NUMBER;TEST CASE1;TEST CASE2;FOLLOW UP;TEST CASE TEXT1;TEST CASE MULTI1;TEST CASE TEXT2;TEST CASE MULTI2;FOLLOW UP TEXT;FOLLOW UP MULTI;COMPARE TEXT1;COMPARE MULTI1;COMPARE TEXT2;COMPARE MULTI2;COMPARE COMBO;COMPARE COMBO
2;describe the automaton ;Which one si the final state ;describe the automaton . Which one si the final state ;The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];The final state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];True;True;False;False;False;False
2;describe the automaton ;How many states are there ;describe the automaton . How many states are there ;The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];This automaton has 4 states;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];This automaton has 4 states;[('simbolo-q0', '#04ed00', 'stroke'), ('simbolo-q1', '#04ed00', 'stroke'), ('simbolo-q2', '#04ed00', 'stroke'), ('simbolo-q4', '#04ed00', 'stroke')];False;False;True;True;False;True
3;There is a transition between q2 and q0 ;what is an automaton;There is a transition between q2 and q0 . what is an automaton;there is no transition between q2 and q0.;[];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];there is no transition between q2 and q0.;[];True;True;False;True;False;True
3;There is a transition between q2 and q0 ;what input can be processed by the automaton;There is a transition between q2 and q0 . what input can be processed by the automaton;there is no transition between q2 and q0.;[];Potresti essere più specifico?;[];there is no transition between q2 and q0.;[];True;True;False;True;False;True
4;There is a transition between q5 and q7 ;Which is the initial state ;There is a transition between q5 and q7 . Which is the initial state ;the transition is not defined.;[];The initial state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];the transition is not defined.;[];True;True;False;False;False;False
4;There is a transition between q5 and q7 ;describe me the alphabet and how its used;There is a transition between q5 and q7 . describe me the alphabet and how its used;the transition is not defined.;[];Potresti essere più specifico?;[];there is no transition between q0 and q0.;[];False;True;False;True;False;True
6;How many transitions does the automaton contain ;Is 11100 part of the accepted language ;How many transitions does the automaton contain . Is 11100 part of the accepted language ;The automaton has 3 transitions: q0 con valore 1 va in q1, q1 con valore 1 va in q2, q4 con valore 0 va in q0.;[('simbolo-q0-q1', '#04ed00', 'stroke'), ('simbolo-q1-q2', '#04ed00', 'stroke'), ('simbolo-q4-q0', '#04ed00', 'stroke')];Potresti essere più specifico?;[];The automaton has 3 transitions: q0 con valore 1 va in q1, q1 con valore 1 va in q2, q4 con valore 0 va in q0.;[('simbolo-q0-q1', '#04ed00', 'stroke'), ('simbolo-q1-q2', '#04ed00', 'stroke'), ('simbolo-q4-q0', '#04ed00', 'stroke')];True;True;False;False;False;True
6;How many transitions does the automaton contain ;How can I define an automaton ;How many transitions does the automaton contain . How can I define an automaton ;The automaton has 3 transitions: q0 con valore 1 va in q1, q1 con valore 1 va in q2, q4 con valore 0 va in q0.;[('simbolo-q0-q1', '#04ed00', 'stroke'), ('simbolo-q1-q2', '#04ed00', 'stroke'), ('simbolo-q4-q0', '#04ed00', 'stroke')];The automaton accepts zero or more words formed by a sequence of the type 110. In total there are 4 states: q0, q1, q2 e q4. q0 is both the initial and the final state.Le transizioni sono: q0 with value 1 goes goes q1, q1 with value 1 goes goes q2, q4 with value 0 goes to q0.;[];The automaton has 4 states and 3 transitions.;[];False;False;False;True;False;False
9;What are the transitions ;What is an example of accepted string ;What are the transitions . What is an example of accepted string ;there is no transition between q0 and q0.;[];Potresti essere più specifico?;[];there is no transition between q0 and q0.;[];True;True;False;True;False;True
9;What are the transitions ;which is initial state;What are the transitions . which is initial state;there is no transition between q0 and q0.;[];The initial state is q0.;[('simbolo-q0', '#04ed00', 'stroke')];there is no transition between q0 and q0.;[];True;True;False;False;False;False
