METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Accuracy;Is it possible to go from state q2 to state q4 in this automaton?;the transition is not defined.;0.2;1;False;{'user_input': 'Is it possible to go from state q2 to state q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Accuracy;From state q3, to which state does the transition go in this automaton?;the transition is not defined.;0.0;2;False;{'user_input': 'From state q3, to which state does the transition go in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q3', '?', '?']]}}
Accuracy;What is the transition that starts from state q3 in this automaton?;the transition is not defined.;0.0;3;False;{'user_input': 'What is the transition that starts from state q3 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q3', '?', '?']]}}
Accuracy;What is the transition going from state q3?;the transition is not defined.;0.0;4;False;{'user_input': 'What is the transition going from state q3?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q3', '?', '?']]}}
Accuracy;"The transition from state q3 in this automaton is not clear to me; what is the transition that starts at q3?";The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;1.0;4;False;"{'user_input': 'The transition from state q3 in this automaton is not clear to me; what is the transition that starts at q3?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': []}}"
Accuracy;"The transition from state q3 in this automaton is not clear to me; what is its destination state and on which input symbol does it occur?";the transition is not defined.;0.0;5;False;"{'user_input': 'The transition from state q3 in this automaton is not clear to me; what is its destination state and on which input symbol does it occur?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q3', '?', '?']]}}"
Accuracy;What is the output of the automaton for the transition sequence it performs?;Could you be more specific?;0.0;6;False;{'user_input': 'What is the output of the automaton for the transition sequence it performs?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'output': '?'}}
Accuracy;What is the output of this automaton for the input string 11000?;Could you be more specific?;0.0;7;False;{'user_input': 'What is the output of this automaton for the input string 11000?', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}}
Accuracy;The automaton does not accept the pattern 11000 as input.;Could you be more specific?;0.0;8;False;{'user_input': 'The automaton does not accept the pattern 11000 as input.', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}}
Accuracy;Before I leave, could you tell me what language is recognized by this automaton for the input 11000?;Could you be more specific?;0.0;9;False;{'user_input': 'Before I leave, could you tell me what language is recognized by this automaton for the input 11000?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}}
Accuracy;Set the language of the finite state automaton for the input 11000.;Could you be more specific?;0.0;10;False;{'user_input': 'Set the language of the finite state automaton for the input 11000.', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}}
Accuracy;What is the language accepted by this automaton for the input 11000?;Could you be more specific?;0.0;11;False;{'user_input': 'What is the language accepted by this automaton for the input 11000?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}}
Accuracy;Thanks! So, for the language recognized by this automaton with input 11000.;Could you be more specific?;0.0;12;False;{'user_input': 'Thanks! So, for the language recognized by this automaton with input 11000.', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '11000'}}
Accuracy;Which state in this automaton has the highest number of transitions?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.0;13;False;{'user_input': 'Which state in this automaton has the highest number of transitions?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'stateWithMostTransitions': '?'}}
Accuracy;Which state of this automaton has the highest number of transitions?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.0;14;False;{'user_input': 'Which state of this automaton has the highest number of transitions?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'stateWithMostTransitions': '?'}}
METRIC;QUESTION;ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Relevancy;Is it possible to go from state q2 to state q4 in this automaton?;the transition is not defined.;0.9;0;False;{'user_input': 'Is it possible to go from state q2 to state q4 in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Relevancy;Which state in this automaton has the highest number of transitions?;The automaton has 5 states: q0, q1, q2, q3 and q4.;0.2;1;False;{'user_input': 'Which state in this automaton has the highest number of transitions?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'stateWithMostTransitions': '?'}}
